Severity,Start_Lat,Start_Lng
2,35.224514,-80.897873
2,35.24519,-81.006058
2,35.30674,-80.805717
2,35.087799,-80.845161
2,35.312092,-80.941238
2,35.033634,-80.805428
2,35.059982,-80.770042
2,35.224297,-80.890915
2,35.300861,-80.817268
2,35.253738,-80.747498
2,35.282021,-80.743828
2,35.247131,-80.817909
2,35.26329,-80.90583
2,35.073921,-81.016212
2,35.205799,-80.810402
2,35.15263,-80.970268
2,35.303471,-80.814697
2,35.098259,-80.961128
2,35.117249,-80.957558
2,35.252232,-80.754936
2,35.311504,-80.710526
2,35.17889,-80.891037
2,35.231571,-80.854469
2,35.262676,-80.77227
2,35.318531,-80.7789
2,35.24918,-80.98465
2,35.222149,-80.84127
2,35.224457,-80.865456
2,35.224457,-80.865456
2,35.236061,-80.832878
2,35.246899,-80.781181
2,35.276299,-80.727776
2,35.16251,-80.866882
2,35.222469,-80.847458
2,35.253464,-80.980301
2,35.184212,-80.80764
2,35.225269,-80.83477
2,35.15274,-80.876312
2,35.279881,-80.900421
2,35.289883,-80.963867
2,35.21365,-80.855621
2,35.227058,-80.840828
2,35.329971,-80.738792
2,35.233509,-80.732224
2,35.16267,-80.73938
2,35.06472,-80.847778
2,35.211449,-80.686699
3,35.311928,-80.758347
2,35.251865,-80.860695
2,35.258781,-80.873085
3,35.348377,-80.733139
2,35.291759,-80.728157
2,35.135262,-80.759819
3,35.06472,-80.847778
2,35.197609,-80.94133
2,35.241238,-80.93914
2,35.161198,-80.779167
2,35.131569,-80.901207
2,35.207027,-80.796295
2,35.059982,-80.770042
2,35.300419,-80.75322
2,35.371239,-80.733307
2,35.272911,-80.88517
2,35.25016,-80.819229
2,35.167549,-80.97216
2,35.169228,-80.973427
3,35.274231,-80.83596
2,35.135529,-80.891891
2,35.17889,-80.891037
2,35.236698,-80.874435
2,35.18074,-80.889297
2,35.153851,-80.973
2,35.226822,-80.834671
2,35.2747,-80.697433
2,35.280991,-80.89846
2,35.150169,-80.939934
2,35.256519,-80.981194
2,35.245483,-80.893196
2,35.335651,-80.924553
2,35.220852,-80.828018
2,35.134621,-80.939346
2,35.316002,-80.724342
2,35.09198,-80.856316
2,35.173271,-80.851158
2,35.125179,-80.872581
2,35.15197,-80.836472
2,35.164894,-80.876122
2,35.030281,-80.851471
2,35.19492,-80.89476
2,35.226601,-80.747292
3,35.197803,-80.882736
2,35.223999,-80.883217
3,35.278908,-80.793503
2,35.20985,-80.757179
2,35.335297,-80.825089
3,35.260948,-80.841278
2,35.198021,-80.883217
2,35.160114,-80.736671
2,35.244598,-80.927071
2,35.251629,-80.841629
2,35.307587,-80.74865
2,35.290951,-80.969292
2,35.147175,-80.724228
2,35.164371,-80.741058
2,35.159531,-80.886299
2,35.285648,-80.762329
2,35.323181,-80.736282
2,35.216621,-80.832596
2,35.372639,-80.789558
2,35.060364,-80.813057
2,35.178001,-80.879662
2,35.067448,-80.818024
2,35.26379,-80.857422
2,35.293282,-80.761971
2,35.089321,-80.870651
2,35.162041,-80.973213
2,35.171242,-80.745438
2,35.235161,-80.832108
2,35.203411,-80.800667
2,35.113468,-80.921761
3,35.241505,-80.849945
2,35.172009,-80.960823
2,35.219421,-80.780602
2,35.091251,-80.974968
2,35.21841,-80.818512
2,35.20097,-80.722878
2,35.09198,-80.856316
2,35.27689,-80.874939
2,35.138859,-80.738937
2,35.23468,-80.88195
2,35.046993,-80.848152
3,35.276901,-80.807045
3,35.348377,-80.733139
2,35.218151,-80.8321
2,35.198933,-80.771675
2,35.28717,-80.923729
2,35.196838,-80.865219
2,35.218151,-80.8321
2,35.2295,-80.811974
2,35.335297,-80.825089
2,35.099091,-80.782097
2,35.258339,-80.794792
2,35.347351,-80.843613
2,35.25499,-80.824188
2,35.110619,-80.882378
2,35.364841,-80.839134
2,35.147797,-80.896446
3,35.162975,-80.889984
2,35.189152,-80.882477
2,35.28413,-80.76387
2,35.207939,-80.813408
2,35.245689,-80.774803
2,35.25626,-80.65419
2,35.19743,-80.722572
2,35.274109,-80.79351
2,35.198792,-80.77108
2,35.296112,-80.793343
2,35.295773,-80.743195
2,35.216225,-80.836655
2,35.226601,-80.747292
2,35.296024,-80.743233
2,35.087589,-80.857979
2,35.236305,-80.839066
2,35.11298,-80.882988
2,35.16375,-80.895164
2,35.240429,-80.75441
2,35.20895,-80.822823
2,35.338322,-80.706009
