Severity,Start_Lat,Start_Lng
2,32.891342,-96.894058
2,32.74889,-96.683411
2,32.759766,-96.872978
2,32.685558,-96.736435
2,32.67104,-96.861809
2,32.772758,-96.856583
2,32.705456,-96.932877
2,32.717403,-96.921005
3,32.75256,-96.770897
3,32.88102,-96.897964
3,32.75256,-96.770897
2,32.69138,-96.891357
2,32.647648,-96.840042
2,32.830276,-96.836533
2,32.741859,-96.822853
2,32.865505,-96.776482
2,32.923908,-96.764305
2,32.783031,-96.737625
2,32.758659,-96.836273
2,32.777374,-96.798592
2,32.803787,-96.773552
2,32.714638,-96.757416
2,32.904701,-96.712387
2,32.734047,-96.648361
3,32.826443,-96.872391
2,32.796425,-96.815544
2,32.792515,-96.696083
3,32.896,-96.898163
2,32.778713,-96.856537
2,32.822197,-96.785973
2,32.834808,-96.668114
3,32.810875,-96.849625
2,32.769066,-96.768456
2,32.763351,-96.661827
2,32.818771,-96.684464
2,32.678738,-96.676033
3,32.869499,-96.898216
2,32.845024,-96.790001
2,32.719532,-96.657043
2,32.904488,-96.804054
