Severity,Start_Lat,Start_Lng
2,30.330379,-97.71566
2,30.377069,-97.929558
2,30.267426,-97.73687
3,30.262075,-97.736458
2,30.309385,-97.724312
2,30.230623,-97.81398
2,30.334192,-97.718262
3,30.231228,-97.742569
2,30.25795,-97.715096
2,30.233406,-97.795509
2,30.453197,-97.776405
3,30.329834,-97.705833
2,30.292034,-97.759872
2,30.273577,-97.697914
3,30.34828,-97.694702
2,30.392958,-97.935478
2,30.19396,-97.744667
3,30.290794,-97.722
2,30.325621,-97.673584
2,30.301908,-97.715286
2,30.253214,-97.680458
2,30.302389,-97.682129
2,30.331532,-98.024628
2,30.152267,-97.73188
2,30.342558,-97.703949
2,30.367392,-97.694588
2,30.217627,-97.683296
2,30.142235,-97.729218
2,30.213881,-97.728256
2,30.339334,-97.70076
2,30.167986,-97.826279
2,30.271551,-97.753975
2,30.288553,-97.752754
2,30.39764,-97.928894
2,30.278799,-97.750717
2,30.289778,-97.752129
2,30.270218,-97.735809
2,30.328848,-97.715843
2,30.237324,-97.822952
2,30.206188,-97.774284
2,30.232386,-97.720421
2,30.31632,-97.70079
2,30.169262,-97.795792
2,30.163422,-97.791603
3,30.342344,-97.697701
2,30.340317,-97.591286
2,30.323296,-97.580406
2,30.318705,-97.730888
2,30.252869,-97.712479
2,30.424784,-97.805885
2,30.359446,-97.904129
3,30.233734,-97.741081
2,30.234507,-97.911072
3,30.335012,-97.702232
2,30.373377,-97.726532
2,30.283262,-97.70443
2,30.308603,-97.734413
2,30.113882,-97.748512
2,30.344091,-97.705406
2,30.253813,-97.604546
3,30.198587,-97.764175
2,30.395163,-97.746262
2,30.297745,-97.686256
2,30.190861,-97.771622
2,30.22286,-97.763962
2,30.16935,-97.691429
2,30.226967,-97.822021
2,30.243629,-97.782272
2,30.207029,-97.860039
2,30.293804,-97.765221
2,30.167179,-97.787933
2,30.436939,-97.781876
2,30.201017,-97.772461
2,30.265268,-97.747673
2,30.164101,-97.692955
2,30.198488,-97.697166
2,30.284716,-97.659798
3,30.399485,-97.673714
2,30.292324,-97.663628
2,30.256678,-97.723351
2,30.368856,-97.614388
2,30.222301,-97.683289
2,30.259117,-97.746422
2,30.329165,-97.641594
2,30.147022,-97.833115
2,30.257826,-97.726662
3,30.19379,-97.767204
2,30.248817,-97.56105
2,30.192797,-97.924629
2,30.252869,-97.712479
3,30.141642,-97.795326
2,30.387527,-97.906281
2,30.302195,-97.63781
2,30.231291,-97.791946
2,30.238161,-97.733009
2,30.260221,-97.709846
2,30.411854,-97.650566
2,30.476341,-97.764626
2,30.238888,-97.744736
2,30.262478,-97.703842
2,30.354704,-97.769791
2,30.283213,-97.747185
2,30.186716,-97.855049
2,30.235416,-97.824829
2,30.329473,-97.926254
2,30.204248,-97.809868
2,30.276865,-97.70034
2,30.192797,-97.924629
2,30.233147,-97.919479
2,30.390987,-97.77684
3,30.223515,-97.747688
2,30.371986,-97.715591
2,30.21903,-97.757103
2,30.408619,-97.716049
2,30.198299,-97.684128
2,30.342318,-97.783188
3,30.190359,-97.770462
2,30.286419,-97.706429
3,30.440557,-97.668533
